Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
Alpine Garden Society,@AlpineGardenSoc,"#Primroses are in their element now. Check out 'Joan Hughes' rocking her pink flowers at our Pershore Show. She earned Mark Childerhouse a Certificate of Merit! Nice work, Mark. #flowershow  @RayShrewsberry  @alps92 ",False,piedmont triad,camera
Alfresco Style,@alfresco_style,"Fancy a #MidweekTreat , but can't be bothered to cook? 
Then feast your eyes on these beauties!  Save some time and pop into #TheAlfrescoStyle Farm Shop for delicious pies & pasties from @MudwallsFarm    #Warwick  #Leamington ",False,theology & religious study,iceland
itsgardeningtime,@itsgardningtime,3 Tips for Big #Red  #Roses in #Autumn ! #rose  #flowers  #garden  http://itsgardeningtime.com/?p=6808&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… ,False,recycling,delhi
Irina,@irotchk,There is a new #article on my blog     http://bit.ly/SeedsAndCuttings…  http://bit.ly/SamenStecklinge  http://bit.ly/SemencesBoutures…  @BloggersHut  #BloggersHUtRT  #TRJForBloggers  @bloggershare2  #BBlogRT  #blogging  #seeds  #plants  #cuttings  #nature ,False,native americans,hiv
Greenhouse Sensation,@GardeningAngels,"Chenies Manor House & Gardens - gardens include a yew maze, parterre, physic garden, kitchen garden and orchard.

We need to visit one day!   #MidWeekMotivation ",False,vision care,application
Makinggardens,@makinggardens,Two beauties for you #camellia ‘Black Lace’ (not seeing the colour myself  ) & 'Bonomiana'  #flowers  #gardening  #bloom ,False,blackberry os,festival
Nuts about Gardening,@giftedgardener0,Black Lace? #WrongLabel   Lovely pics MG    ,False,blackberry os,festival
Makinggardens,@makinggardens,Nope quite correct- remember I always speak the truth! Thank you   ,False,lexus,program
Joshua,@Jobasha,"Morning all, let's see if we have any better weather today. Roses to prune. ",False,weather,cincinnati
John Walker,@earthFgardener,"You summed up well the ingrained problems that lie at the heart of the UK’s multi-billion £ & overwhelmingly pro-peat, #nature -harming #gardening industry. And you named top quality #peatfree composts to boot. ",False,native americans,hiv
Nuts about Gardening,@giftedgardener0,Big shout out to my best friend for  the gift    Little Nuts loves it  Happy #PancakeDay2020  #PancakeTuesday ,False,bermuda,tv commercials
Burgon & Ball,@burgonandball,We loved the towering angelica which featured in several gardens at #RHSChelsea last year - here in the wilder riverside-style planting to one side of @gardendesigner1 's #garden for @Wedgwood . We'll certainly be including a few of these stars in our 2020 garden. ,False,gardening & landscaping,barcelona
Gary Webb,@GaryWebb1,"That’ll slow them up a touch, or maybe not come to think of it.... #snowday  #cotswolds ",False,slovenia,toronto
Griffin Glasshouses,@GriffinGlasshse,"This glasshouse may be small, but it's perfectly formed, doing exactly the job for which it is intended. 
A small garden could be overpowered by a large glasshouse, so we will listen to what you want, & work with you to get just the greenhouse you need. http://ow.ly/Vt2E50ymHxK ",False,laptops & notebooks,el paso
Griffin Glasshouses,@GriffinGlasshse,Thank you for the twitter  @columbinehall  @Milhart66Ken  @truelove_gail  @LeamInBloom  @katreewilson  @darrenlakin2  @Hall87222078Eva  @mafevenzor  @gardenobelisks  @evelienepien83  @mascotte149  @rosa8690  @FullGrownFuture  @sianrobinson101  @brittaugustson   ,False,lexus,program
Kate Elliott,@columbinehall,Much welcome.  ,False,lexus,program
Monique,@MoniForNature,Ich liebe es  ,False,lexus,program
Greg Tofield,@GardenerGregthe,At least it's nice and warm in the greenhouse #ThursdayThoughts  #Lithops  #Succulents  #gregsgardens  #snowday ,False,nice,fort
