Category ID,Label,Most Correlated,Least Correlated
275,burgers,burger,input output
276,burgundy,burgundy,weather
277,burkina faso,burkina,australia
278,bursa,bursa,south
294,bus & rail,butcher,fl
279,busan,busan,malaysia
281,business & corporate law,business directory,public
285,business & industrial,business management,life
288,business & personal listings,business plan,list
291,business & productivity software,business,india
293,business & tycoon games,bus,india
280,business cards & stationary,business,australia
282,business education,business education,credit
283,business finance,business finance,online
284,business formation,business sale,programs
286,business news,business news,management
287,business operations,business opportunities,service
289,business plans & presentations,business plan,input output
290,business process,business process,book
292,business services,business,credit
295,butchers,buy,greeting
352,c & c++,cd dvd,job
356,c?diz,cd,software
511,c?te d'ivoire,ct,input output
296,cable & satellite providers,cabo,commercial
297,cad & cam,cad cam,books
298,cadillac,cadillac,open
299,cairns,cairns,phone
300,cairo,cairo,africa
301,calabria,calabria,download
302,calculators & reference tools,calendar,online
303,calendar & scheduling software,calendar,input output
304,calgary,calgary,technology
305,california,california,input output
306,california central coast,california,professional
307,calling cards,calories,food
308,cambodia,cambodia,map
309,camcorders,camera,online
311,camera & photo equipment,camera,input output
310,camera lenses,camera lenses,input output
312,cameras,cameras,input output
313,cameras & camcorders,cameras,travel
314,cameroon,cameroon,islands
315,campaigns & elections,campaign,input output
316,campania,campers,used
317,campers & rvs,camping,south korea
318,canada,canadian,employment
319,canadian prairies,canadian,attractions
320,canary islands,canary islands,real
321,canberra,canberra,search
323,canc?n & riviera maya,candy,north
322,cancer,cancer,women
324,candy & sweets,canon,cuisine
325,cantabria,coral,events
326,cape town,capital,records
327,cappadocia,cappadocia,rental
329,car audio,car audio,popular
333,car electronics,car sale,free download
339,car rental & taxi services,cartoon,politics
341,car video,casino,comparison
328,caracas,caracas,vacation
330,card games,card games,airport
331,cards & greetings,career,plan
332,career resources & planning,careers,chicago
334,cargo trucks & trailers,car hire,cheap
335,caribbean,caribbean,uk
336,caribbean cuisine,caribbean,colorado
337,carnival & mardi gras,carpet,reviews
338,carpooling & vehicle sharing,car rental,lake tahoe
340,cartoons,cartoon,film
342,castile and le?n,spain,input output
343,castile-la mancha,cast,software
344,casual apparel,casual,input output
345,casual games,casual,input output
346,casual shoes,casual,software
347,catalonia,catalonia,shoes
348,catering,catering,disorders
349,cats,cattle,video
350,caucasus,causes,plans
351,cayman islands,cayman islands,medical
353,cd & audio shopping,cd,services
354,cd & dvd drives & burners,cd dvd,car
355,cd & dvd storage media,cd,free
357,cear?,dressing,input output
358,cebu,cebu,luxury
359,celebrities & entertainment news,celebrity,indonesia
363,central & eastern europe,central,input output
360,central america,central america,university
361,central anatolia,central,input output
362,central asia,central asia,list
364,central florida,central florida,insurance
365,central france,central,input output
366,central mexico,central,hotel
367,central west brazil,central,input output
368,centre,ceramic,social
369,ceramics & pottery,certified,insurance
370,chad,chad,guide
371,champagne-ardenne,champagne,recipes
372,changchun,channel,los
373,charity & philanthropy,charleston,christmas
374,charlotte metro,cheap,normandy
375,cheerleading,cheerleading,football
376,cheese,chemical,cape
377,chemicals industry,chemicals,input output
378,chemistry,chemistry,facts
379,chennai,chennai,social
380,chess & abstract strategy games,freezer,news
381,chevrolet,chevrolet,africa
382,chhattisgarh,chhattisgarh,attractions
383,chiang mai,chiang,women
384,chiapas,rainforest,input output
385,chiba,chiba,hotel
386,chicago,chicago,natural
387,chihuahua,chihuahua,movie
388,child care,child,costume
389,children's clothing,childrens,services
390,children's literature,childrens,virginia
391,chile,chile,tickets
392,china,china,iran
393,chinese cuisine,chinese,institute
394,chips & processors,chocolate,lake
395,cholesterol issues,cholesterol,input output
396,chongqing,chongqing,women
397,christchurch,christian,men
398,christian & gospel music,christian,online
399,christian holidays,christian,input output
400,christianity,christian,live
401,christmas,christmas,costa
402,chrysler,chrysler,usa
403,chubu,roll,hotel
404,chugoku,cia,near
405,cincinnati,cincinnati,road
406,circus,citroen,population
407,citro?n,break,online
409,city & local guides,city,investment
408,city building games,city building,jobs
410,civil engineering,civil,mozambique
412,classic films,classic,recipes
413,classic rock & oldies,classic,music
414,classic vehicles,classified,online
411,classical music,classical,truck
415,classifieds,classroom,events
416,cleaning agents,cleaning,training
417,cleaning supplies & services,cleanse,input output
418,cleansing & detoxification,clearance,care
419,clerical & administrative jobs,cleveland,tourism
420,climate change & global warming,climate,test
421,clip art & animated gifs,clipart,online
422,clocks,clothes,day
423,clothing accessories,cloud,media
424,clubs & organizations,cnn,denver
425,coatings & adhesives,cocktail,care
426,coffee,coffee,list
427,coffee & espresso makers,coffee,books
428,coffee & tea,coin,care
429,cold & flu,cold,film
430,collectible card games,college,slovakia
431,college sports,college sports,design
432,colleges & universities,majors,real estate
433,cologne,cologne,input output
434,colombia,colombia,events
435,colorado,colorado,cards
436,columbus (oh),columbus,radio
437,combat sports,sports,input output
438,combat sports equipment,comedy,city
439,comedy films,comedy,websites
440,comics,comics,input output
441,comics & animation,commercial,gas
442,commercial & investment real estate,commercial,input output
443,commercial lending,commercial,hard
444,commercial vehicles,commercial vehicle,food
445,commodities & futures trading,common,real estate
447,communications & media studies,compact,plans
446,communications equipment,communications,input output
448,company earnings,company,input output
449,company news,compare,ski
450,compensation & benefits,complete,bike
462,computer & video games,concerts,north
451,computer components,computer components,australia
452,computer drives & storage,computer,input output
453,computer education,computer,information
454,computer hardware,computer hardware,sales
455,computer memory,computer memory,list
456,computer monitors & displays,computer,download
457,computer peripherals,computer,history
458,computer science,computer science,search
459,computer security,computer security,services
461,computer servers,computers,science
460,computers & electronics,server,input output
463,concerts & music festivals,concert,property
464,condiments & dressings,condos,review
465,congo (dr),congo,business
466,connecticut,connecticut,basketball
467,constitutional law & civil rights,constitution,school
469,construction & maintenance,construction,games
470,construction & power tools,construction,insurance
468,construction consulting & contracting,construction,africa
471,consulting,consulting,input output
472,consumer advocacy & protection,consumer,input output
473,consumer electronics,consumer,japan
474,consumer resources,contemporary,education
475,content management,content,san
476,"contests, awards & prizes",convenience store,learning
477,convenience stores,convert,gold
479,cooking & recipes,cooking,shop
478,cooking fats & oils,cooking,input output
480,cookware & diningware,cool,learning
481,copenhagen,copenhagen,price
482,copiers,corner,shops
484,corporate & financial crime,corporate,supply
483,corporate events,corporate events,jobs
485,corporate training,corporate training,events
486,corsica,corsica,tours
487,cosmetic procedures,cosmetics,cheap
488,cosmetic surgery,cosmetic surgery,women
489,cosmetology & beauty professionals,cosmetology,travel
490,costa rica,cost,seoul
491,costumes,cottages,beach
492,counseling services,countries,eating
493,country music,country music,cruise
494,coupons & discount offers,coupons,hotels
495,couriers & messengers,courses,information
496,courts & judiciary,craft,fort
497,crafts,create,york city
499,credit & lending,credit,online
498,credit cards,credit cards,africa
500,credit reporting & monitoring,credit score,food
501,crete,crete,flights
502,cricket,cricket,sports
503,cricket equipment,cricket,information
505,crime & justice,criminal justice,pictures
504,crimea,crimea,weather
506,criminal law,crm,company
507,croatia,croatia,homes
508,crops & seed,cruise,island
509,cruiser bikes,cruiser,south
510,cruises & charters,cruises,world
512,cuba,cuba,tickets
513,cuernavaca (morelos),cuisinart,book
514,cuisines,culinary,england
515,culinary training,culinary,hotel
516,cult & indie films,culture,southern
517,currencies & foreign exchange,currency,oven
520,custom & performance vehicles,custom,input output
521,custom & personalized items,cute,photos
518,customer relationship management (crm),customer,training
519,customer services,custom,development
522,cutlery & cutting accessories,cycle,gold
523,cycling,cycling,input output
524,cycling apparel,cycling,books
525,cyprus,cyprus,real estate
526,czech republic,czech republic,places
528,daegu,daegu,input output
529,daejeon,daily,loss
530,dairy & eggs,dairy,world
531,dallas-fort worth,dallas,restaurant
532,dance,dance,video
533,dance & electronic music,dance,tourist attractions
534,data backup & recovery,database,small
535,data formats & protocols,data,input output
536,data management,data,ideas
537,data sheets & electronics reference,dating,statistics
538,dating & personals,day,travel insurance
539,debit & checking services,debt collection,london
540,debt collection & repossession,debt,australia
541,debt management,debt management,credit
542,defense industry,define,guinea
543,delaware,delaware,facts
544,delhi,delhi,design
545,delicatessens,delivery,online
546,deltona-daytona beach,demographic,history
547,demographics,demographics,law
548,denmark,dental,paris
549,denver,denver,providers
550,depression,derivative,market
551,derivatives,derivatives,ideas
552,design,designer,guitar
553,desktop computers,desktop,australia
554,desktop publishing,desktop publishing,company
555,desserts,detox,pradesh
556,detroit,detroit,cheap flights
557,development tools,device driver,input output
558,device drivers,device,property
559,diabetes,diabetic,prices
560,dice games,goods,computer
561,dictionaries & encyclopedias,diecast,canada
562,die-cast & toy vehicles,digital,chrysler
563,dining guides,diploma,debt
564,directories & listings,disability,center
565,disabled & special needs,discount,bali
566,discount & outlet stores,discount,special
567,discrimination & identity relations,diseases,rights
568,dishwashers,distance,park
569,distance learning,distance learning,san
570,distributed & parallel computing,distribution,input output
571,distribution & logistics,diving,wales
572,diving & underwater activities,divorce,facts
573,divorce & separation,diy,service
574,dj resources & equipment,dmv,engine
575,doctors' offices,documentary film,video
577,document & printing services,document,input output
576,documentary films,documentary,input output
578,dodge,dodge,hiv
579,dogs,dogs sale,engine
580,dolls & accessories,domestic,country
581,domestic services,domestic,management
582,dominica,dominica,hotel
583,dominican republic,dominican,marketing
584,dongguan,door,hotels
585,doors & windows,double,cell
586,download managers,downtown,oregon
587,drag & street racing,drama,input output
588,drama films,drama,free
589,drawing & coloring,drawing,china
591,dress-up & fashion games,drinking,parking
590,dresses,dress,kids
593,driving & racing games,driving,racing
592,driving instruction & driver education,driving lessons,game
594,drug & alcohol testing,drug alcohol,input output
595,drug & alcohol treatment,drug alcohol,input output
596,drug laws & policy,drugs,health
597,drugs & medications,drum,florida
598,drums & percussion,drunk,input output
599,drunk driving law,dual,child
600,dublin,dublin,pradesh
601,duesseldorf,dvd,buenos aires
603,dvd & video rentals,shopping,input output
604,dvd & video shopping,dvr,input output
602,dvd players & recorders,dvd,software
605,dvrs & set-top boxes,dye,hotels
606,dyes & pigments,early,tickets
627,e-book readers,ebook,input output
628,e-books,eco,training
630,e-commerce services,economic,shows
608,ear nose & throat,earth,central
607,early childhood education,early,personal
609,earth sciences,earth,estate
610,east asia,east asia,management
611,east asian cuisine,asian,input output
612,east asian music,east,input output
613,east asians & diaspora,east,list
621,east france,east,input output
622,east india,east india,estate
623,east midlands,east midlands,college
624,east of england,east england,input output
625,east timor,easy,affiliate
614,easter,easter,party
615,eastern africa,eastern,input output
616,eastern anatolia,eastern,input output
617,eastern china,eastern,input output
618,eastern europe,eastern european,input output
619,eastern european cuisine,eastern european,input output
620,eastern europeans,eastern,human
626,eating disorders,eating,auto
629,ecology & environment,commerce,australia
631,economics,economics,information
632,economy news,economy,companies
633,ecotourism,ecotourism,history
634,ecuador,ecuador,today
635,edgy & bizarre,pacific northwest,input output
636,edinburgh,edinburgh,park
637,edmonton,edmonton,shop
638,education,educational,services
642,education jobs,education,america
639,educational games,educational,education
640,educational resources,educational,online
641,educational software,education,uk
643,egypt,egypt,games
644,ehime,electrical,certificate
651,el paso,el paso,attractions
652,el salvador,el salvador,tourist
646,electric & plug-in vehicles,electric,america
645,electricity,electricity,school
647,electromechanical devices,mechanical,online
648,electronic accessories,electronic,game
649,electronic components,electronic,perth
650,electronics & electrical,elite,bed
653,email & messaging,email,south
654,embassies & consulates,emergency,vacation
655,emergency services,emergency services,america
656,emilia-romagna,employment,silicon
657,endocrine conditions,energy,day
658,energy & utilities,engineering,stores
660,engine & transmission,transmission,input output
659,engineering & technology,engine,services
661,england,english,sightseeing
662,enterprise resource planning (erp),enterprise,input output
663,enterprise technology,entertainment,input output
664,entertainment industry,entertainment industry,news
665,entertainment media,entertainment,input output
666,entertainment media rentals,environmental,guinea
667,equestrian,equestrian,business
668,equestrian equipment & tack,equestrian,apartment
669,erectile dysfunction,erp,manager
670,espirito santo,essay,north
671,essen (ruhr area),estate planning,carolina
672,estonia,ethical,review
673,ethics,ethics,input output
674,ethiopia,ethiopia,health
675,ethnic & identity groups,ethnic,input output
676,etiquette,euro,capital
677,europe,european,family
678,event planning,event planning,new
680,event ticket sales,examples,tv shows
679,events & listings,events,online
682,exchange traded funds,traded,list
681,exchanges,traded,input output
684,executive & management jobs,exercise,magazine
683,executive branch,executive,pictures
685,exotic pets,exotic,recipes
686,expatriate communities,experience,health
687,experimental & industrial music,export,public
688,expos & conventions,external,insurance
689,extremadura,extreme,flights
690,extreme sports,extreme sports,photos
691,eye exams & optometry,eyeglasses,input output
692,eyeglasses & contacts,eye,ideas
693,eyewear,fabric,new
694,face & body care,facial,ideas
695,factory automation,facts,oklahoma
696,family,family,legal
700,family & relationships,famous,mississippi
697,family films,family holidays,asia
698,family law,family law,book
699,family-oriented games & activities,family,business
701,fan fiction,fantasy,girls
702,fantasy sports,fantasy,software
703,far eastern russia,farmers market,london
704,farmers' markets,farms,lake
705,farms & ranches,fashion,card
708,fashion & style,fashion,korea
706,fashion designers & collections,fashion,history
707,fashion modeling,fashion model,companies
709,fast food,fast,small business
710,fax machines,federal,job
711,feed aggregation & social bookmarking,female,stock
712,ferrari,ferrari,lauderdale
713,fiat,fiat,brisbane
714,fiber & textile arts,fight,supplies
715,fighting games,figure,input output
716,fiji,fiji,property
717,file sharing & hosting,filing,job
719,film & tv awards,film,input output
720,film & tv industry,film,input output
721,film & tv production,filter,jobs
718,film festivals,film,university
722,finance,finance,town
723,financial markets,financial,estate
724,financial planning & management,financial,swimming
725,fine dining,fine dining,mumbai
726,finland,finland,college
727,fire & security services,person,training
728,fiscal policy news,fish,input output
729,fish & aquaria,fish,list
731,fish & seafood,tank,computer
730,fishing,fishing,kids
732,fitness,fitness,india
733,fitness equipment & accessories,fitness equipment,uk
734,fitness instruction & personal training,fixed,usa
736,flash drives & memory cards,flights,papua
735,flash-based entertainment,flash,input output
737,flooring,flora fauna,japan
738,flora & fauna,flora,input output
739,florence,florence,holidays
740,florida,florida,legal
741,florida keys,florida keys,pictures
742,florida panhandle,flower,recipes
743,flowers,flowers,rentals
744,fluid handling,fly,idaho
745,folk & traditional music,cheese,input output
746,fonts,fonts,input output
747,food,food drink,jobs
748,food & beverage events,food delivery,search
749,food & drink,food,service
750,food & grocery delivery,grocery,input output
751,food & grocery retailers,food,statistics
752,food processors,processors,jobs
753,food production,food production,facts
754,food service,football,slovakia
755,footwear,footwear,uk
756,ford,ford,nz
757,foreign language resources,foreign language,input output
758,foreign language study,forensic,university
759,forestry,forestry,magazine
760,formal wear,formal wear,australia
761,forms guides & templates,sale owner,search
763,fort myers-cape coral,fort myers,jobs
762,fortaleza,fort lauderdale,supplies
764,forum & chat providers,fox,make
765,france,france,korea
766,franche-comt?,franchise,hotel
767,frankfurt,frankfurt,real
768,fraternal orders & service clubs,organizations,input output
769,"fraternities, sororities & student societies",free,irish
770,freeware & shareware,free web,reviews
771,freight & trucking,french,law
772,french cuisine,french,law
773,french guiana,french guiana,rental
774,french overseas (dom-tom),fresh,toronto
775,friendship,friendship,books
776,friuli-venezia giulia,frozen,animals
777,fruits & vegetables,fuel,florida
778,fuel economy & gas prices,fuel,input output
779,fujian,fujian,airport
780,fukui,japan,input output
781,fukuoka,fukuoka,food
782,fukushima,fukushima,cameroon
785,fun & trivia,furniture stores,goods
784,fun tests & silly surveys,fun things,input output
783,funds,funny,ethiopia
786,gadgets & portable electronics,galapagos,food
787,galapagos islands,galapagos,san
788,galicia,galicia,tourist
789,gambling,gambling,company
790,game cheats & hints,game,watch
792,game systems & consoles,gaming,world
791,games,games,trading
793,gaming media & reference,gaming,south
794,gangs & organized crime,violence,input output
795,gangwon,korea,input output
796,gansu,garage,homes sale
797,gardening & landscaping,gay,barcelona
798,gay-lesbian-bisexual-transgender,gay,indian
799,gems & jewelry,genealogy,services
800,general reference,generator,uk
801,generators,genetic,card
802,genetic disorders,genetic,input output
803,genetics,genetics,online
804,geneva,geneva,tickets
805,genoa,genoa,luxury
806,geographic reference,geography,service
807,geology,geology,usa
808,georgia,georgia,loans
809,georgia (usa),gerd,management
810,gerd & digestive disorders,german,companies
811,german cuisine,german,marriage
812,germany,getting,tours
813,ghana,ghana,language
814,gifts,gifts,kids
815,gifts & special event items,gift,online
816,gifu,girls,juice
817,glasgow,global,agents
819,gm-daewoo,motors,input output
818,gmc,gmc,usa
820,goa,goa,driving
821,goi?s,gold,estate
822,gold coast,gold,kyoto
823,golf,golf,usa
824,golf equipment,good,environment
825,gossip & tabloid news,gothic,tv
826,goth subculture,gourmet,tours
827,gourmet & specialty foods,gourmet,input output
828,government,government,insurance
832,government & public sector jobs,govt,gas
829,government contracting & procurement,government,insurance
830,government grants,government jobs,money
831,government ministries,government,asia
833,gps & navigation,graduate,york
834,grains & pasta,grand,day
835,grand rapids-west michigan,grants,power
836,"grants, scholarships & financial aid",graphic,input output
837,graphic design,graphic,free online
838,graphics & animation software,great,systems
845,great plains (usa),great,jobs
839,greater charleston (sc),greater,input output
840,greater cleveland,greater,input output
841,greater hartford,greater,input output
842,greater orlando,greater,input output
843,greater st. louis,greater,input output
844,greater toronto,great,science
846,greece,greece,day
847,greek cuisine,greek,soccer
848,green & eco-friendly shopping,green,sale
850,green living & environmental issues,green,services
849,greenland,greenland,places
851,grenada,grenada,price
852,guadalajara,guadalajara,estate
853,guadeloupe,guadeloupe,input output
854,guam,guam,tourist
855,guanajuato,violence,input output
856,guangdong,guangdong,news
857,guangxi,province,input output
858,guangzhou,guangzhou,tourism
859,guatemala,guatemala,map
860,guerrero,guitar,cholesterol
861,guitars,guitar,input output
862,guizhou,province,input output
863,gujarat,gujarat,capital
864,gunma,sacramento,new
865,guyana,guyana,island
866,gwangju,place,music
867,gyeonggi,gymnastic,free download
868,gymnastics,gymnastics,uk
869,gymnastics equipment,gymnastics,health
870,gyms & health clubs,gyms,gas
871,hacking & cracking,hacking,game
872,hainan,hainan,hotel
873,hair care,hair care,health
874,hair loss,hair,center
875,haiti,haiti,st
876,halifax,halifax,spain
877,halloween & october 31st,halloween,travel
878,hamburg,hamburg,deals
879,hamilton-niagara peninsula,ham radio,treatment
880,handbags & purses,handbags,input output
881,handball,handball,films
882,handheld game consoles,handheld,sales
883,hangzhou,hangzhou,flights
884,hanoi,happy,exchange
885,harare,harare,input output
886,harbin,harbin,near
887,hard drives,hard rock,mexico
888,hard rock & progressive,hardware,tv
889,hardware modding & tuning,hardware,school
890,harrisburg-south central pa,harvard,east
891,hawaii,hawaii,villas
892,hdtvs,headache,input output
893,headaches & migraines,head,uk
894,headphones,head,india
895,headwear,headwear,music
896,health,healthcare,bristol
901,health & medical jobs,health,input output
897,health conditions,health,games
898,health education & medical training,health,input output
899,health foundations & medical research,health,input output
900,health insurance,health insurance,australia
902,health news,health news,south
903,health policy,health policy,india
904,healthy eating,healthy,lesson
905,heart & hypertension,heavy equipment,hostel
906,heavy machinery,heavy,tours
907,hebei,hedge fund,san
908,hedge funds,hedge,south
909,heilongjiang,help,gear
910,helsinki,helsinki,price
911,henan,herbal,packages
912,herbs & spices,herbs,estate
913,hesse,high,pa
914,hiking & camping,hiking,bay
915,hinduism,hinduism,plastic
916,hiroshima,hiroshima,girls
917,historical sites & buildings,historical,food
918,history,history,videos
920,ho chi minh city,ho chi,information
919,hobbies & leisure,hobby,sale
921,hockey,hockey,input output
922,hockey equipment,hockey,china
923,hokkaido,holiday,los angeles
924,holidays & seasonal events,hollywood,oman
929,home & garden,home,island
925,home appliances,home,association
926,home equity loans & lines of credit,home equity,input output
927,home financing,home,game
928,home furnishings,home furnishings,cheap
930,home improvement,home improvement,deals
931,home insurance,homemade,food
933,home office,home office,program
934,home refinancing,homeschool,bank
936,home storage & shelving,home theater,software
937,home theater systems,home theater,property
932,homemaking & interior decor,home,list
935,homeschooling,homes sale,kyoto
938,honda,honda,center
