Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
New Scientist,@newscientist,Earth has acquired a brand new moon that's about the size of a car http://bit.ly/3cd1ktx ,False,plumbing fixtures & equipment,money
Alex Bell,@alexbell,𝒷𝒶𝒸𝓀 𝒾𝓃 𝓉𝒽𝑒 𝓈𝓉𝓊𝒹𝒾𝑜 #QIseriesR ,False,lexus,program
science,@science,"HHS Secretary Alex Azar has confirmed a 60th U.S. coronvirus case. Azar said during testimony before a house panel, ""Coming into this hearing, I was informed that we have a 15th confirmed case, the epidemiology of which we are still discerning."" http://bit.ly/383nr2z ",False,car video,comparison
Lauren Goode,@LaurenGoode,"“Our lives are busy. Our lives are not necessarily that in touch with nature and with the real world around us, and people crave it. I don’t think they’re even aware of it.” ",False,native americans,hiv
Thomas Zurbuchen,@Dr_ThomasZ,"Why would NASA use balloons  for science? They allow experiments weighing up to 8,000lbs to be lifted over the atmosphere. Watch #EZScience to learn about the variety of balloons, the science they can help us do and how long they float above the land: https://youtu.be/yW38YH3oFi0 ",False,london (uk),theatre
Neil deGrasse Tyson,@neiltyson,"The film ""Ad Astra"" showed an excellent lunar landscape. Desolate. Without color. Bright in sunlight. Dark in shadows. Daytime starry skies. Except the length of shadows should have been much longer, extending in front of them, just before crossing to the Moon's darkened far side ",False,land rover,birmingham
Kelly Martin,@kelly_m_martin,Two things I love - beer  and waste reduction  very excited to be at the #NatGeoForum on The Circular Economy today. We have a ways to go but exciting to hear about all the work already underway to close the waste loop! ,False,theology & religious study,iceland
Laura Gagliardi,@gagliardi8,Actinide compounds that satisfy Hückel’s rule: nice effort @GagliardiGroup  @UMNChemistry  @umnmsi in collaboration with Jackie Kiplinger et al. @LosAlamosNatLab  @nature ,False,native americans,hiv
NASA,@NASA,"“It’s like a work of art out the window there, and it surprises you every time you look at it.” 

One of our former @NASA_Astronauts Nicole Stott recalls seeing Earth below during her time aboard the @space_station and how it impacted her worldview: https://go.nasa.gov/32twloM ",False,wildlife,policy
JCDecaux America,@jcdecauxusa,Discover a dog’s state of mind #WednesdayThoughts  @museumofscience ,False,new york state,museum
